"","feature","variable","level","estimate","std.error","p.value","q.value","method"
"170","rep6","HTA_PRE_ECLAM","Yes",0.462306995265657,0.658151523077898,0.482409506338002,0.818121385017665,"CPLM"
"171","tnpA","OUT_GROUP","B",-0.0888330299860917,0.125736263498433,0.479875473692451,0.818121385017665,"CPLM"
"172","istB","OUT_GROUP","B",0.361593382687601,0.519506703473783,0.486408677912977,0.820107654620717,"CPLM"
"173","Tn916.orf9","HTA_PRE_ECLAM","Yes",0.14034654493516,0.204953145770079,0.493486669242951,0.824409397527393,"CPLM"
"174","istB","BIL_INC_ATB","Yes",0.258730450819815,0.378848770588568,0.494645638516436,0.824409397527393,"CPLM"
"175","IS621","PAT_AGE","PAT_AGE",0.0815271585483304,0.120506127807009,0.498698159793179,0.825398240908036,"CPLM"
"176","int2","HTA_PRE_ECLAM","Yes",-0.641311165760284,0.95287857917672,0.500931346206256,0.825398240908036,"CPLM"
"177","Tn916.orf6","DIABET_GESTA","Yes",-0.0715524136675691,0.109178561298395,0.512229208403859,0.834530732792804,"CPLM"
"178","tnpA4","RCIU","Yes",-0.376211259851933,0.571291335577061,0.510199001879359,0.834530732792804,"CPLM"
"179","Tn916.orf20","OUT_GROUP","B",-0.0857331230156211,0.133773442387116,0.521598711692019,0.840353479948253,"CPLM"
"180","Tn916.orf6","OUT_GROUP","B",-0.0835322552121054,0.130109939347579,0.520864828467705,0.840353479948253,"CPLM"
"181","Int.Tn916","HTA_PRE_ECLAM","Yes",0.132724427053267,0.214221256449162,0.535542880497079,0.844062148609526,"CPLM"
"182","Tn916.orf16","OUT_GROUP","B",-0.0865064733664543,0.137197598892584,0.528351354861614,0.844062148609526,"CPLM"
"183","Xis.Tn916","OUT_GROUP","B",-0.0828012039595794,0.131910442620314,0.53019542326332,0.844062148609526,"CPLM"
"184","istB","PAT_AGE","PAT_AGE",-0.113215507024063,0.181709889648793,0.533247469345582,0.844062148609526,"CPLM"
"185","Tn916.orf19","HTA_PRE_ECLAM","Yes",0.1273108610113,0.210183957091019,0.544706279548884,0.849273231554711,"CPLM"
"186","rep6","OUT_GROUP","D",-0.250152801446669,0.411572153765577,0.543321343870365,0.849273231554711,"CPLM"
"187","Col156","PAT_AGE","PAT_AGE",0.148084027783184,0.247992938799065,0.550420578470963,0.852453986020076,"CPLM"
"188","Int.Tn916","RCIU","Yes",0.101782998079845,0.171400696070969,0.552625342661291,0.852453986020076,"CPLM"
"189","Tn916.orf18","HTA_PRE_ECLAM","Yes",0.12625646455868,0.214707757003151,0.556506335009895,0.852780958715331,"CPLM"
"190","Tn916.orf7","OUT_GROUP","D",-0.0741942024512182,0.126882800535548,0.55871855915832,0.852780958715331,"CPLM"
"191","IncFII","RCIU","Yes",-0.483688274700494,0.850244851042008,0.569436793604546,0.861270331674456,"CPLM"
"192","tnpA","DIABET_GESTA","Yes",-0.05807774209544,0.102298714827271,0.570220357522399,0.861270331674456,"CPLM"
"193","Tn916.orf8","HTA_PRE_ECLAM","Yes",0.116195530149102,0.206385592545004,0.573433427114391,0.861635719498308,"CPLM"
"194","Tn916.orf20","BIL_INC_ATB","Yes",0.0539298671631686,0.0981030611190782,0.582506874938383,0.87075769965016,"CPLM"
"195","rep9","RCIU","Yes",0.24798108337572,0.455420528831979,0.586090491497566,0.871621756586123,"CPLM"
"196","Tn916.orf17","HTA_PRE_ECLAM","Yes",0.11693063636391,0.21961533273737,0.594425548300367,0.877373053959076,"CPLM"
"197","Tn916.orf7","HTA_PRE_ECLAM","Yes",0.111354611203453,0.21004396929558,0.596008591827373,0.877373053959076,"CPLM"
"198","rep7","BIL_INC_ATB","Yes",0.535128152136459,1.01827553499253,0.599219028472075,0.877644031600514,"CPLM"
"199","int2","PAT_AGE","PAT_AGE",0.0592105234669582,0.116991018591192,0.612778236521792,0.888528442956598,"CPLM"
"200","rep9","HTA_PRE_ECLAM","Yes",0.321692168848841,0.6317213504287,0.610590234380126,0.888528442956598,"CPLM"
"201","Tn916.orf13","OUT_GROUP","B",-0.0641870071165836,0.132821969286319,0.628914012160528,0.902896354091848,"CPLM"
"202","Tn916.orf15","OUT_GROUP","B",-0.0656043951828287,0.134813291166716,0.626519490824659,0.902896354091848,"CPLM"
"203","rep9","OUT_GROUP","D",-0.184061210001577,0.384681935222606,0.632311199970825,0.903301714244035,"CPLM"
"204","IncFII","PAT_AGE","PAT_AGE",-0.0872534913992267,0.194202069002388,0.653220822235549,0.906382959082819,"CPLM"
"205","Tn916.orf16","OUT_GROUP","D",-0.0613192104600866,0.135455510832504,0.650772750880677,0.906382959082819,"CPLM"
"206","Tn916.orf19","OUT_GROUP","D",-0.0575999029350985,0.128113272308669,0.652997899007085,0.906382959082819,"CPLM"
"207","Tn916.orf9","RCIU","Yes",0.0725900692058088,0.15987464371437,0.649797399010048,0.906382959082819,"CPLM"
"208","rep20","BIL_INC_ATB","Yes",0.233867502131761,0.509377831369509,0.646145243185549,0.906382959082819,"CPLM"
"209","rep9","PAT_AGE","PAT_AGE",0.0568935463624877,0.124671475097843,0.648139936689727,0.906382959082819,"CPLM"
"210","Tn916.orf20","OUT_GROUP","D",-0.0577345064092139,0.131752885709222,0.661239152588246,0.912670458153428,"CPLM"
"211","Xis.Tn916","RCIU","Yes",0.0721059651527791,0.166015287560003,0.66404643679439,0.912670458153428,"CPLM"
"212","Tn916.orf15","OUT_GROUP","D",-0.0560310328826107,0.133558576226779,0.674833192524778,0.915929332396257,"CPLM"
"213","Tn916.orf8","DIABET_GESTA","Yes",-0.0457493394458111,0.109428688318598,0.675892679768272,0.915929332396257,"CPLM"
"214","rep7","OUT_GROUP","B",0.582866543850724,1.39318635958889,0.675677054472972,0.915929332396257,"CPLM"
"215","ColRNAI","OUT_GROUP","B",0.175825550571574,0.433154569269877,0.684802318992498,0.918626816030332,"CPLM"
"216","ColRNAI","HTA_PRE_ECLAM","Yes",0.219688168719571,0.580966451647897,0.705324658132115,0.918626816030332,"CPLM"
"217","IS621","RCIU","Yes",-0.186829573683122,0.469122163237258,0.690443285636968,0.918626816030332,"CPLM"
"218","IS91","OUT_GROUP","B",-0.0975080981795811,0.258892943124523,0.706445004226385,0.918626816030332,"CPLM"
"219","IS91","HTA_PRE_ECLAM","Yes",-0.189111561380512,0.506380104380521,0.708807804148803,0.918626816030332,"CPLM"
"220","IncFII","OUT_GROUP","B",0.279352651609986,0.69638451679369,0.688311801929256,0.918626816030332,"CPLM"
"221","Tn916.orf20","HTA_PRE_ECLAM","Yes",0.0839809825803135,0.219077097288698,0.70146779247742,0.918626816030332,"CPLM"
"222","Tn916.orf7","DIABET_GESTA","Yes",-0.0407752650016666,0.110743613495962,0.712727702092499,0.918626816030332,"CPLM"
"223","Tn916.orf9","DIABET_GESTA","Yes",-0.0402881848367726,0.109087894531544,0.711890288142724,0.918626816030332,"CPLM"
"224","Xis.Tn916","HTA_PRE_ECLAM","Yes",0.0807902730338935,0.218490743714327,0.711557448439961,0.918626816030332,"CPLM"
"225","rep7","DIABET_GESTA","Yes",0.415114791469889,1.11147233630142,0.708789819771694,0.918626816030332,"CPLM"
"226","Tn916.orf18","DIABET_GESTA","Yes",0.0391989118532961,0.110959725821047,0.723884888769801,0.926690259351087,"CPLM"
"227","tnpA","PAT_AGE","PAT_AGE",-0.0135625819114916,0.038608521215672,0.725374789216196,0.926690259351087,"CPLM"
"228","Tn916.orf14","OUT_GROUP","D",-0.0441940032495538,0.133344024261393,0.740320878246318,0.936954708320915,"CPLM"
"229","Tn916.orf17","OUT_GROUP","B",-0.0442690229518537,0.136853061629157,0.746332888352177,0.936954708320915,"CPLM"
"230","istB","OUT_GROUP","C",-0.191451790782032,0.589806947014099,0.745483242295637,0.936954708320915,"CPLM"
"231","istB","CERCLAGE","Yes",0.290964163312688,0.898928752989033,0.746181236778728,0.936954708320915,"CPLM"
