feature;variable;level;estimate;std.error;p.value;q.value;method
Xis.Tn916;OUT_GROUP;D;0.019622322;0.128593402;0.878720048;0.988439701;CPLM
insertion_element_IS91;OUT_GROUP;B;0.036822155;0.241874477;0.879000306;0.988439701;CPLM
integrase;OUT_GROUP;D;0.011371502;0.071328072;0.873333774;0.988439701;CPLM
integrase;RCIU;Yes;-0.0177881;0.098738282;0.857031646;0.988439701;CPLM
plasmid;PAT_AGE;PAT_AGE;0.003518358;0.025677486;0.89101409;0.988439701;CPLM
qacEdelta;PAT_AGE;PAT_AGE;-0.051354848;0.366331816;0.888512481;0.988439701;CPLM
tniB;OUT_GROUP;D;0.323878188;2.292884301;0.887669595;0.988439701;CPLM
tniB;Type;SN;0.275678324;1.851339455;0.881626626;0.988439701;CPLM
tnpA1.IS1068;IMC;IMC;-0.000106528;0.000650875;0.86999169;0.988439701;CPLM
plasmid;RCIU;Yes;0.011989484;0.101737497;0.90618869;0.990785895;CPLM
qacEdelta;CERCLAGE;Yes;0.201874843;1.69256157;0.905060035;0.990785895;CPLM
qacEdelta;RCIU;Yes;-0.16268025;1.537351687;0.915726358;0.990785895;CPLM
tniA;RCIU;Yes;-0.192493274;1.725634646;0.911180803;0.990785895;CPLM
IncFIB.Mar.;Type;SN;-3.65E-06;3.81E-05;0.9236545;0.993932559;CPLM
ISBf10;Type;SN;-0.00075797;0.009029062;0.933097942;0.998541319;CPLM
IncFIB.Mar.;OUT_GROUP;B;0.000249575;0.004114141;0.951627857;0.998541319;CPLM
Tn916;DIABET_GESTA;Yes;-0.003600698;0.095256292;0.969847062;0.998541319;CPLM
Xis.Tn916;RCIU;Yes;0.010743651;0.166284843;0.948484582;0.998541319;CPLM
istA;OUT_GROUP;B;0.039771917;0.857082231;0.962988367;0.998541319;CPLM
istA2;CERCLAGE;Yes;0.069620424;2.082100156;0.973325629;0.998541319;CPLM
qacEdelta;HTA_PRE_ECLAM;Yes;-9.845871469;189.9053053;0.95865123;0.998541319;CPLM
tnpA2.ISLL6;CERCLAGE;Yes;-0.00012728;0.002915493;0.96517829;0.998541319;CPLM
tnpA2.ISLL6;Type;SN;-8.53E-07;2.01E-05;0.96619034;0.998541319;CPLM
istA2;PAT_AGE;PAT_AGE;-0.00936354;0.387622322;0.980727896;0.999621191;CPLM
istA2;HTA_PRE_ECLAM;Yes;-16.74569026;6987.357177;0.998087816;0.999621191;CPLM
tniB;OUT_GROUP;B;-19.54566352;25417.48151;0.999386439;0.999621191;CPLM
tniB;HTA_PRE_ECLAM;Yes;-18.93190557;39876.22648;0.999621191;0.999621191;CPLM
tnpA1.IS1068;Type;SN;4.14E-07;3.31E-05;0.990014087;0.999621191;CPLM
